handbook_path,owner,last_reviewed,next_review_due,update_status,source_links,handbook_version,last_updated_meta
ai-frameworks/adk-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
ai-frameworks/autogen-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
ai-frameworks/google-adk-handbook.html,unassigned,2026-05-26,2026-06-25,active,,v1,2026-05-25
ai-frameworks/langchain-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
ai-frameworks/langgraph-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
ai-frameworks/smolagents-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
ai-governance/ai-guardrails-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
ai-governance/ai-harness-engineering-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
ai-governance/llm-evaluation-and-testing-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
architecture/api-gateway-patterns-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
architecture/architecture-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
architecture/dsa-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
architecture/event-driven-architecture-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
architecture/graphql-enterprise-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
architecture/grpc-and-protocol-buffers-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
architecture/hld-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
architecture/lld-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
architecture/modular-monolith-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
architecture/software-architecture-patterns-decision-makers-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
architecture/togaf-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
backend/dotnetcore_handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
backend/springboot-handbook.html,unassigned,2026-05-26,2026-11-22,active,,v1,2026-05-25
cloud/aws-cloud-engineer-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
cloud/azure-cloud-engineer-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
cloud/gcp-cloud-engineer-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
cloud/multi-cloud-architecture-scaling-standards-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
cloud/multi-cloud-cost-governance-standards-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
cloud/multi-cloud-disaster-recovery-runbook-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
cloud/multi-cloud-landing-zones-governance-handbook.html,unassigned,2026-07-27,2026-08-26,active,,v2,2026-07-27
data-engineering/data-engineering-core-concepts-python-handbook.html,unassigned,2026-05-26,2026-08-24,active,,v1,2026-05-25
